f Hz	Vin V	uVin	Vout V	uVout	G	uG
10	1.66	0.0598	17.8	0.784	10.72289157	0.610140313
10000	2.04	0.0862	21.6	0.898	10.58823529	0.627649331
100000	2	0.085	2.64	0.1042	1.32	0.076561217
50000	2	0.085	5.2	0.206	2.6	0.151060418
25000	2	0.085	10.6	0.418	5.3	0.307276036
15000	2	0.085	16.8	0.754	8.4	0.519209014
20000	2	0.085	13	0.49	6.5	0.369241198
35000	2	0.085	7.4	0.272	3.7	0.207902772
30000	2	0.085	8.6	0.358	4.3	0.255809622
28000	2	0.085	9.4	0.382	4.7	0.27637124
100	2.04	0.0862	21.6	0.898	10.58823529	0.627649331
1000	2	0.085	21.8	0.904	10.9	0.64722837
12000	2.04	0.0862	20	0.85	9.803921569	0.587558985
5000	2	0.085	21.6	0.898	10.8	0.642091894
14000	2	0.085	18	0.79	9	0.54984657
18000	2	0.085	14.4	0.532	7.2	0.405452833
40000	2	0.085	6.6	0.248	3.3	0.187205936
45000	2	0.085	5.8	0.224	2.9	0.16653697
22000	2	0.085	11.8	0.454	5.9	0.338237435
60000	2	0.085	4.2	0.176	2.1	0.125337794
80000	2	0.085	3.4	0.127	1.7	0.096188942
72000	2	0.085	3.8	0.139	1.9	0.106540192
90000	2	0.085	3	0.115	1.5	0.085850524
120000	2	0.085	2.2	0.091	1.1	0.065236589
150000	2	0.085	1.8	0.079	0.9	0.054984657
