8.7	149	451	0	435	0	452.2	0
9.8	140	268	0.488	200	0.427	170.6	0.468
11.5	128.6			83.6	0.854	56.1	0.936
13.5	119.5			36.8	1.281	22.5	1.404
15.6	110.5			18.3	1.708	9.8	1.872
19.4	99.6			    	    	4.6	2.34
24	90.5						
29.8	82.2						
41.1	71.2						
56.3	62.3						
82.7	52.7						
126.4	44.2						
237.9	34.5						
549	25.7						
1177	20.1						
351	30						
158.1	40.4						
774	23.4						
936	21.6						
1484	18.8						
