-0.56	0.24	Rc	Rb
3.52	-1.44		
3.52	-1.44		
3.52	-1.44		
3.68	-1.48		
3.68	-1.48		
3.68	-1.52		
3.68	-1.52		
3.76	-1.56		
3.84	-1.56		
3.92	-1.56		
3.92	-1.56		
3.92	-1.6		
4	-1.64		
4	-1.64		
4.08	-1.64		
4.16	-1.68		
4.16	-1.68		
4.24	-1.72		
4.24	-1.72		
4.24	-1.72		
4.32	-1.76		
4.32	-1.76		
4.4	-1.76		
4.4	-1.8		
4.48	-1.8		
4.56	-1.84		
4.56	-1.84		
4.64	-1.88		
4.64	-1.92		
4.64	-1.92		
4.72	-1.92		
4.72	-1.96		
4.8	-1.96		
4.8	-1.96		
4.88	-2		
4.88	-2		
4.96	-2		
5.04	-2		
5.04	-2.04		
5.04	-2.04		
4.96	-2.04		
4.96	-2.04		
4.96	-2.04		
4.88	-2.04		
4.88	-2		
4.88	-2		
4.8	-2		
4.72	-1.96		
4.72	-1.96		
4.64	-1.96		
4.56	-1.92		
4.56	-1.92		
4.56	-1.88		
4.48	-1.88		
4.4	-1.84		
4.4	-1.84		
4.32	-1.8		
4.32	-1.8		
4.24	-1.76		
4.24	-1.76		
4.16	-1.76		
4.16	-1.76		
4.08	-1.72		
4.08	-1.68		
4.08	-1.68		
4	-1.68		
3.92	-1.68		
3.92	-1.6		
3.84	-1.64		
3.84	-1.56		
3.76	-1.56		
3.76	-1.56		
3.68	-1.56		
3.68	-1.52		
3.68	-1.52		
3.6	-1.48		
3.52	-1.48		
3.52	-1.48		
3.52	-1.44		
3.44	-1.44		
3.36	-1.4		
3.36	-1.4		
3.28	-1.4		
3.2	-1.4		
3.2	-1.36		
3.12	-1.32		
3.12	-1.32		
3.04	-1.32		
3.04	-1.28		
3.04	-1.24		
2.96	-1.24		
2.88	-1.2		
2.88	-1.2		
2.8	-1.2		
2.8	-1.2		
2.72	-1.16		
2.72	-1.16		
2.72	-1.16		
2.64	-1.12		
2.64	-1.08		
2.56	-1.08		
2.56	-1.08		
2.48	-1.04		
2.48	-1.04		
2.4	-1		
2.32	-1		
2.32	-0.96		
2.24	-0.96		
2.24	-0.92		
2.24	-0.96		
2.16	-0.92		
2.08	-0.92		
2.08	-0.88		
2	-0.84		
2	-0.84		
2	-0.84		
1.92	-0.8		
1.92	-0.8		
1.84	-0.76		
1.76	-0.76		
1.76	-0.76		
1.68	-0.72		
1.76	-0.72		
1.68	-0.68		
1.6	-0.68		
1.52	-0.68		
1.52	-0.64		
1.52	-0.6		
1.44	-0.64		
1.44	-0.6		
1.44	-0.56		
1.36	-0.56		
1.28	-0.52		
1.2	-0.52		
1.2	-0.52		
1.12	-0.48		
1.12	-0.48		
1.04	-0.48		
1.04	-0.44		
0.96	-0.4		
0.96	-0.4		
0.96	-0.4		
0.88	-0.36		
0.88	-0.36		
0.8	-0.32		
0.72	-0.32		
0.64	-0.28		
0.64	-0.28		
0.64	-0.28		
0.56	-0.24		
0.56	-0.24		
0.48	-0.2		
0.48	-0.2		
0.4	-0.16		
0.4	-0.16		
0.32	-0.12		
0.32	-0.12		
0.24	-0.08		
0.16	-0.08		
0.16	-0.08		
0.16	-0.04		
0.08	-0.04		
0	-0.04		
0	0		
0	0		
-0.08	0.04		
-0.08	0.04		
-0.16	0.04		
-0.16	0.08		
-0.24	0.04		
-0.24	0.12		
-0.32	0.12		
-0.32	0.16		
-0.4	0.16		
-0.4	0.2		
-0.48	0.2		
-0.48	0.2		
