-0.2	0.14	Rc	Rb
-0.24	0.16	2200	1000000
-0.24	0.16		
-0.24	0.18		
-0.32	0.18		
-0.32	0.2		
-0.32	0.22		
-0.32	0.22		
-0.36	0.22		
-0.4	0.24		
-0.4	0.26		
-0.4	0.26		
-0.44	0.26		
-0.44	0.28		
-0.48	0.3		
-0.48	0.3		
-0.52	0.3		
-0.48	0.32		
-0.56	0.32		
-0.56	0.32		
-0.56	0.34		
-0.56	0.34		
-0.6	0.36		
-0.6	0.36		
-0.64	0.36		
-0.64	0.4		
-0.64	0.4		
-0.68	0.4		
-0.72	0.42		
-0.72	0.42		
-0.72	0.42		
-0.72	0.44		
-0.76	0.46		
-0.76	0.46		
-0.76	0.46		
-0.8	0.48		
-0.84	0.48		
-0.84	0.5		
-0.84	0.52		
-0.88	0.52		
-0.88	0.54		
-0.88	0.54		
-0.92	0.54		
-0.92	0.54		
-0.92	0.56		
-0.96	0.58		
-0.96	0.58		
-1	0.58		
-1	0.58		
-1.04	0.6		
-1.04	0.62		
-1.04	0.62		
-1.08	0.64		
-1.08	0.64		
-1.12	0.66		
-1.12	0.66		
-1.12	0.66		
-1.16	0.68		
-1.2	0.7		
-1.2	0.7		
-1.2	0.72		
-1.2	0.7		
-1.24	0.7		
-1.24	0.72		
-1.28	0.74		
-1.28	0.76		
-1.28	0.76		
-1.32	0.74		
-1.36	0.76		
-1.36	0.76		
-1.36	0.78		
-1.4	0.78		
-1.4	0.8		
-1.44	0.8		
-1.44	0.8		
-1.48	0.8		
-1.48	0.84		
-1.48	0.82		
-1.52	0.84		
-1.52	0.84		
-1.52	0.82		
-1.56	0.84		
-1.56	0.84		
-1.56	0.86		
-1.6	0.86		
-1.64	0.88		
-1.64	0.86		
-1.68	0.86		
-1.64	0.86		
-1.68	0.86		
-1.68	0.86		
-1.72	0.86		
-1.72	0.86		
-1.72	0.88		
-1.76	0.88		
-1.8	0.88		
-1.8	0.88		
-1.8	0.86		
-1.84	0.86		
-1.84	0.86		
-1.84	0.88		
-1.88	0.88		
-1.88	0.88		
-1.88	0.86		
-1.88	0.88		
-1.92	0.88		
-1.96	0.86		
-1.96	0.88		
-2	0.88		
-2	0.86		
-2	0.88		
-2	0.88		
-2.04	0.88		
-2	0.88		
-1.96	0.86		
-1.96	0.86		
-1.96	0.88		
-1.96	0.86		
-1.92	0.88		
-1.88	0.88		
-1.88	0.88		
-1.88	0.86		
-1.84	0.86		
-1.84	0.88		
-1.84	0.86		
-1.8	0.88		
-1.8	0.86		
-1.76	0.88		
-1.76	0.88		
-1.76	0.86		
-1.76	0.86		
-1.72	0.88		
-1.68	0.88		
-1.68	0.88		
-1.68	0.88		
-1.64	0.86		
-1.64	0.88		
-1.64	0.88		
-1.6	0.86		
-1.6	0.86		
-1.56	0.86		
-1.56	0.86		
-1.52	0.88		
-1.52	0.86		
-1.52	0.88		
-1.48	0.88		
-1.44	0.86		
-1.44	0.88		
-1.44	0.86		
-1.44	0.86		
-1.4	0.86		
-1.4	0.86		
-1.36	0.86		
-1.36	0.86		
-1.32	0.86		
-1.32	0.86		
-1.32	0.86		
-1.28	0.84		
-1.28	0.84		
-1.28	0.84		
-1.24	0.82		
-1.24	0.82		
-1.2	0.78		
-1.2	0.76		
-1.2	0.74		
