-0.56	0.064	Rc	Rb
-0.56	0.064	4700	10000000
-0.64	0.072		
-0.64	0.072		
-0.64	0.072		
-0.64	0.072		
-0.64	0.072		
-0.72	0.08		
-0.72	0.08		
-0.72	0.08		
-0.72	0.08		
-0.72	0.088		
-0.8	0.088		
-0.8	0.088		
-0.8	0.088		
-0.8	0.088		
-0.8	0.096		
-0.88	0.096		
-0.88	0.096		
-0.88	0.096		
-0.88	0.104		
-0.88	0.104		
-0.88	0.104		
-0.96	0.104		
-0.96	0.104		
-0.96	0.104		
-0.96	0.112		
-0.96	0.112		
-1.04	0.112		
-1.04	0.112		
-1.04	0.112		
-1.04	0.12		
-1.04	0.12		
-1.12	0.12		
-1.12	0.12		
-1.12	0.128		
-1.12	0.128		
-1.12	0.128		
-1.2	0.128		
-1.2	0.128		
-1.2	0.136		
-1.2	0.136		
-1.2	0.136		
-1.28	0.136		
-1.28	0.136		
-1.28	0.144		
-1.28	0.144		
-1.28	0.144		
-1.36	0.144		
-1.36	0.144		
-1.36	0.144		
-1.36	0.152		
-1.36	0.152		
-1.44	0.152		
-1.44	0.152		
-1.44	0.152		
-1.44	0.152		
-1.44	0.16		
-1.52	0.16		
-1.52	0.16		
-1.52	0.16		
-1.6	0.16		
-1.6	0.16		
-1.6	0.16		
-1.6	0.168		
-1.6	0.168		
-1.68	0.168		
-1.68	0.168		
-1.68	0.168		
-1.68	0.168		
-1.68	0.168		
-1.76	0.176		
-1.76	0.176		
-1.76	0.176		
-1.76	0.176		
-1.76	0.176		
-1.84	0.176		
-1.84	0.176		
-1.84	0.176		
-1.84	0.176		
-1.84	0.176		
-1.92	0.176		
-1.92	0.176		
-1.92	0.176		
-1.92	0.184		
-1.92	0.184		
-2	0.184		
-2	0.184		
-2	0.184		
-2	0.184		
-2	0.184		
-2.08	0.184		
-2.08	0.184		
-2	0.184		
-2	0.184		
-2	0.184		
-2	0.184		
-2	0.184		
-1.92	0.184		
-1.92	0.184		
-1.92	0.184		
-1.92	0.184		
-1.92	0.184		
-1.84	0.184		
-1.84	0.184		
-1.84	0.184		
-1.84	0.184		
-1.84	0.184		
-1.76	0.184		
-1.76	0.184		
-1.76	0.184		
-1.76	0.184		
-1.76	0.184		
-1.68	0.184		
-1.68	0.184		
-1.68	0.184		
-1.68	0.184		
-1.6	0.184		
-1.6	0.184		
-1.6	0.184		
-1.6	0.184		
-1.6	0.184		
-1.52	0.184		
-1.52	0.184		
-1.52	0.184		
-1.52	0.184		
-1.44	0.184		
-1.44	0.184		
-1.44	0.184		
-1.44	0.184		
-1.36	0.184		
-1.36	0.184		
-1.36	0.184		
-1.36	0.184		
-1.36	0.184		
-1.36	0.184		
-1.28	0.184		
-1.28	0.184		
-1.28	0.184		
-1.28	0.184		
-1.28	0.184		
-1.2	0.184		
-1.2	0.184		
-1.2	0.184		
-1.2	0.184		
-1.12	0.184		
-1.12	0.184		
-1.12	0.184		
-1.12	0.176		
-1.12	0.176		
-1.04	0.176		
-1.04	0.176		
-1.04	0.176		
-1.04	0.176		
-1.04	0.176		
-0.96	0.176		
-0.96	0.176		
