0.063	0.071	114000	1012	22.4996712										
0.05	0.071	113300	1006	22.63172728										
0.15	0.071	70700	666	32.55002186										
0.203	0.071	54600	537	38.34554477										
0.361	0.071	39300	414	46.31421929										
0.437	0.071	25000	300	57.32782129										
0.643	0.071	17800	152	61.51448912										
0.661	0.071	13500	118	70.19650342										
0.817	0.071	9000	82	85.272591										
1.107	0.071	6100	59	97.20205761										
1.377	0.071	5000	50	103.521875										
1.501	0.071	4800	48	104.8062327										
1.483	0.071	4660	47	105.7377016										
1.316	0.071	4480	46	106.9795566										
1.294	0.071	3830	41	111.9921259										
1.288	0.071	3190	36	118.0935288										
														
														
														
														
														
														
														
														
														
														
														
														
														
