0.01	0.071	113700	1010	22.55618209										
0.009	0.071	113300	1006	22.63172728										
0.37	0.071	67700	642	33.4896358										
0.61	0.071	53100	525	38.99878481										
1.018	0.071	37300	398	47.61033177										
1.482	0.071	24000	292	58.27065567										
2.04	0.071	16800	144	63.333652										
2.512	0.071	12200	108	73.37614993										
3.176	0.071	8300	76	87.52875655										
3.891	0.071	5900	57	98.2721988										
4.335	0.071	4900	49	104.1576068										
4.271	0.071	4740	48	105.201968										
4.267	0.071	4570	47	106.3520619										
4.189	0.071	4350	45	107.9109315										
4.538	0.071	3760	40	112.5933106										
4.879	0.071	3180	35	118.2012055										
														
														
														
														
														
														
														
														
														
														
														
														
														
