1.30	0.11	2.630	0.031
2.00	0.11	4.000	0.042
2.60	0.11	5.130	0.051
3.00	0.11	5.900	0.057
3.50	0.11	6.900	0.065
4.60	0.12	9.070	0.083
5.10	0.12	10.050	0.090
5.80	0.12	11.50	0.10
6.60	0.13	13.01	0.11
7.30	0.13	14.31	0.12
7.90	0.13	15.50	0.13
8.60	0.13	17.00	0.15
9.10	0.14	18.06	0.15
9.70	0.14	19.15	0.16
