0.01	0.071	114000	1012	22.4996712										
0	0.071	113400	1007	22.61281982										
0.845	0.071	72700	682	31.95161151										
1.34	0.071	54900	539	38.21767552										
2.182	0.071	39900	419	45.93869145										
3.496	0.071	25000	300	57.32782129										
4.362	0.071	18800	160	59.7915327										
5.472	0.071	13900	121	69.28047384										
7.121	0.071	9200	84	84.68314278										
9.129	0.071	6100	59	97.20205761										
10.108	0.071	5200	52	102.2859286										
10.395	0.071	4800	48	104.8062327										
10.461	0.071	4660	47	105.7377016										
10.568	0.071	4460	46	107.1208711										
11.229	0.071	3870	41	111.6547665										
11.941	0.071	3200	36	117.9862885										
														
														
														
														
														
														
														
														
														
														
														
														
														
