-0.015	0.071	113700	1010	22.55618209										
-0.01	0.071	113300	1006	22.63172728										
0.92	0.071	68900	651	33.10743246										
1.48	0.071	53800	530	38.69102049										
2.375	0.071	38500	408	46.82435866										
3.636	0.071	24600	297	57.70186397										
4.835	0.071	17300	148	62.41133704										
5.989	0.071	12800	112	71.86778905										
7.853	0.071	8500	78	86.84807384										
9.549	0.071	6000	58	97.733184										
10.645	0.071	4900	49	104.1576068										
10.597	0.071	4700	48	105.4686525										
10.675	0.071	4590	47	106.2144321										
10.686	0.071	4450	46	107.191791										
11.527	0.071	3790	40	112.3339433										
12.274	0.071	3180	35	118.2012055										
														
														
														
														
														
														
														
														
														
														
														
														
														
