0.1180	0.0039	358.37	2.8	0.23	0.01
0.1600	0.0043	360.6	2.8	0.31	0.01
0.1820	0.0045	356.72	2.8	0.36	0.01
0.2140	0.0047	358.07	2.8	0.42	0.01
0.2740	0.0052	365.99	2.9	0.52	0.01
0.3170	0.0055	360.35	2.8	0.61	0.01
0.4360	0.0065	365.28	2.9	0.83	0.01
0.4870	0.0069	358.25	2.8	0.94	0.01
0.5590	0.0075	362.66	2.8	1.07	0.01
0.6180	0.0079	361.54	2.8	1.18	0.01
0.6870	0.0085	358.22	2.8	1.32	0.01
0.7750	0.0092	364.08	2.8	1.45	0.01
0.886	0.010	362.46	2.8	1.65	0.01
1.026	0.011	360.12	2.8	1.96	0.01
1.140	0.012	362.39	2.8	2.16	0.01
1.228	0.013	363.35	2.8	2.32	0.01
1.320	0.014	360.51	2.8	2.51	0.01
1.418	0.014	358.22	2.8	2.71	0.01
1.533	0.015	359.41	2.8	2.92	0.01
